"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","General Methodology",146,"these models produce expected amde rates (a safety target), against which we compare the observed rates in a test year to compute a safety signal. [@hatfield_regulator_2017]","these models produce expected amde rates (a safety target), against which we compare the observed rates in a test year to compute a safety signal.","[@hatfield_regulator_2017]"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","Simulation",151,"using simulation and an analysis of amde data, we compare our minimum-risk decisions to a conventional z score approach for classifying safety signals. [@hatfield_regulator_2017]","using simulation and an analysis of amde data, we compare our minimum-risk decisions to a conventional z score approach for classifying safety signals.","[@hatfield_regulator_2017]"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","Simulation",159,"in the simulation, decisions that minimize bayes risk outperform z score–based decisions, even when the loss functions or hierarchical models are misspecified. [@hatfield_regulator_2017]","in the simulation, decisions that minimize bayes risk outperform z score–based decisions, even when the loss functions or hierarchical models are misspecified.","[@hatfield_regulator_2017]"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","General Methodology",140,"our method is sensitive to the choice of loss functions; eliciting quantitative inputs to the loss functions from regulators is challenging. [@hatfield_regulator_2017]","our method is sensitive to the choice of loss functions; eliciting quantitative inputs to the loss functions from regulators is challenging.","[@hatfield_regulator_2017]"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","General Methodology",180,"a decision-theoretic approach to acting on safety signals is potentially promising but requires careful specification of loss functions in consultation with subject matter experts. [@hatfield_regulator_2017]","a decision-theoretic approach to acting on safety signals is potentially promising but requires careful specification of loss functions in consultation with subject matter experts.","[@hatfield_regulator_2017]"
"hatfield_regulator_2017","Regulator loss functions and hierarchical modeling for safety decision making","Bayesian",46,"keywords: bayesian, bayesian decision analysis [@hatfield_regulator_2017]","keywords: bayesian, bayesian decision analysis","[@hatfield_regulator_2017]"
"awasthi_cost_2017","Cost effective appraisal strategy using decision tree analysis for optimal field development planning","Decision Analysis",108,"title: cost effective appraisal strategy using decision tree analysis for optimal field development planning [@awasthi_cost_2017]","title: cost effective appraisal strategy using decision tree analysis for optimal field development planning","[@awasthi_cost_2017]"
"howard_few_2017","Few and not so far between: a meta-analysis of climate damage estimates","General Methodology",157,"title: few and not so far between: a meta-analysis of climate damage estimates    keywords: linter/error  annotation: export date: 05 may 2024; cited by: 117 [@howard_few_2017]","title: few and not so far between: a meta-analysis of climate damage estimates    keywords: linter/error  annotation: export date: 05 may 2024; cited by: 117","[@howard_few_2017]"
"shinkins_evidence_2017","Evidence synthesis to inform model-based cost-effectiveness evaluations of diagnostic tests: a methodological review of health technology assessments","General Methodology",156,"title: evidence synthesis to inform model-based cost-effectiveness evaluations of diagnostic tests: a methodological review of health technology assessments [@shinkins_evidence_2017]","title: evidence synthesis to inform model-based cost-effectiveness evaluations of diagnostic tests: a methodological review of health technology assessments","[@shinkins_evidence_2017]"
"chatterjee_unified_2017","Unified granular-number-based {AHP}-{VIKOR} multi-criteria decision framework","General Methodology",84,"title: unified granular-number-based {ahp}-{vikor} multi-criteria decision framework [@chatterjee_unified_2017]","title: unified granular-number-based {ahp}-{vikor} multi-criteria decision framework","[@chatterjee_unified_2017]"
"thompson_inferring_2017","Inferring extinctions {II}: a practical, iterative model based on records and surveys","General Methodology",92,"title: inferring extinctions {ii}: a practical, iterative model based on records and surveys [@thompson_inferring_2017]","title: inferring extinctions {ii}: a practical, iterative model based on records and surveys","[@thompson_inferring_2017]"
"zhu_sequential_2017","Sequential dynamic decision making with deep neural nets on a test-time budget","Machine Learning",293,"title: sequential dynamic decision making with deep neural nets on a test-time budget  abstract: deep neural network (dnn) based approaches hold significant potential for reinforcement learning (rl) and have already shown remarkable gains over state-of-art methods in a number of applications. [@zhu_sequential_2017]","title: sequential dynamic decision making with deep neural nets on a test-time budget  abstract: deep neural network (dnn) based approaches hold significant potential for reinforcement learning (rl) and have already shown remarkable gains over state-of-art methods in a number of applications.","[@zhu_sequential_2017]"
"zhu_sequential_2017","Sequential dynamic decision making with deep neural nets on a test-time budget","General Methodology",213,"the effectiveness of dnn methods can be attributed to leveraging the abundance of supervised data to learn value functions, q-functions, and policy function approximations without the need for feature engineering. [@zhu_sequential_2017]","the effectiveness of dnn methods can be attributed to leveraging the abundance of supervised data to learn value functions, q-functions, and policy function approximations without the need for feature engineering.","[@zhu_sequential_2017]"
"zhu_sequential_2017","Sequential dynamic decision making with deep neural nets on a test-time budget","General Methodology",307,"we propose a novel approach for reducing the average latency by learning a computationally efficient gating function that is capable of recognizing states in a sequential decision process for which policy prescriptions of a shallow network suffices and deeper layers of the dnn have little marginal utility. [@zhu_sequential_2017]","we propose a novel approach for reducing the average latency by learning a computationally efficient gating function that is capable of recognizing states in a sequential decision process for which policy prescriptions of a shallow network suffices and deeper layers of the dnn have little marginal utility.","[@zhu_sequential_2017]"
"molinari_validation_2017","validation of flood risk models: current practice and innovations","General Methodology",72,"title: validation of flood risk models: current practice and innovations [@molinari_validation_2017]","title: validation of flood risk models: current practice and innovations","[@molinari_validation_2017]"
"hettle_assessment_2017","The assessment and appraisal of regenerative medicines and cell therapy products: an exploration of methods for review, economic evaluation and appraisal","General Methodology",216,"title: the assessment and appraisal of regenerative medicines and cell therapy products: an exploration of methods for review, economic evaluation and appraisal      annotation: export date: 05 may 2024; cited by: 97 [@hettle_assessment_2017]","title: the assessment and appraisal of regenerative medicines and cell therapy products: an exploration of methods for review, economic evaluation and appraisal      annotation: export date: 05 may 2024; cited by: 97","[@hettle_assessment_2017]"
"zafari_systematic_2017","A systematic review of health economics simulation models of chronic obstructive pulmonary disease","Simulation",161,"title: a systematic review of health economics simulation models of chronic obstructive pulmonary disease      annotation: export date: 05 may 2024; cited by: 19 [@zafari_systematic_2017]","title: a systematic review of health economics simulation models of chronic obstructive pulmonary disease      annotation: export date: 05 may 2024; cited by: 19","[@zafari_systematic_2017]"
"lauwers_accounting_2017","Accounting for urban trees. {Revising} the {VAT03} compensation value model","General Methodology",47,"{revising} the {vat03} compensation value model [@lauwers_accounting_2017]","{revising} the {vat03} compensation value model","[@lauwers_accounting_2017]"
"kearns_cost-effectiveness_2017","The cost-effectiveness of changes to the care pathway used to identify depression and provide treatment amongst people with diabetes in {England}: a model-based economic evaluation","General Methodology",187,"title: the cost-effectiveness of changes to the care pathway used to identify depression and provide treatment amongst people with diabetes in {england}: a model-based economic evaluation [@kearns_cost-effectiveness_2017]","title: the cost-effectiveness of changes to the care pathway used to identify depression and provide treatment amongst people with diabetes in {england}: a model-based economic evaluation","[@kearns_cost-effectiveness_2017]"
"ly_constructing_2017","Constructing a framework for analyzing the reliability and value of uncertain seismic interpretations","General Methodology",108,"title: constructing a framework for analyzing the reliability and value of uncertain seismic interpretations [@ly_constructing_2017]","title: constructing a framework for analyzing the reliability and value of uncertain seismic interpretations","[@ly_constructing_2017]"
"kosgodagandalla_torre_twodimension_2017","A two‐dimension dynamic bayesian network for large‐scale degradation modeling with an application to a bridges network","Bayesian",157,"title: a two‐dimension dynamic bayesian network for large‐scale degradation modeling with an application to a bridges network  abstract:   keywords: bayesian [@kosgodagandalla_torre_twodimension_2017]","title: a two‐dimension dynamic bayesian network for large‐scale degradation modeling with an application to a bridges network  abstract:   keywords: bayesian","[@kosgodagandalla_torre_twodimension_2017]"
"yoo_improving_2017","Improving travel decision support satisfaction with smart tourism technologies: a framework of tourist elaboration likelihood and self-efficacy","General Methodology",150,"title: improving travel decision support satisfaction with smart tourism technologies: a framework of tourist elaboration likelihood and self-efficacy [@yoo_improving_2017]","title: improving travel decision support satisfaction with smart tourism technologies: a framework of tourist elaboration likelihood and self-efficacy","[@yoo_improving_2017]"
"salleh_discrete_2017","Discrete event simulation-based resource modelling in health technology assessment","Simulation",145,"title: discrete event simulation-based resource modelling in health technology assessment      annotation: export date: 05 may 2024; cited by: 17 [@salleh_discrete_2017]","title: discrete event simulation-based resource modelling in health technology assessment      annotation: export date: 05 may 2024; cited by: 17","[@salleh_discrete_2017]"
"antillon_cost-effectiveness_2017","Cost-effectiveness analysis of typhoid conjugate vaccines in five endemic low-and middle-income settings","General Methodology",111,"title: cost-effectiveness analysis of typhoid conjugate vaccines in five endemic low-and middle-income settings [@antillon_cost-effectiveness_2017]","title: cost-effectiveness analysis of typhoid conjugate vaccines in five endemic low-and middle-income settings","[@antillon_cost-effectiveness_2017]"
"atlam_overview_2017","An overview of risk estimation techniques in risk-based access control for the internet of things","General Methodology",104,"title: an overview of risk estimation techniques in risk-based access control for the internet of things [@atlam_overview_2017]","title: an overview of risk estimation techniques in risk-based access control for the internet of things","[@atlam_overview_2017]"
"faria_how_2017","How to invest in getting cost-effective technologies into practice? {A} framework for value of implementation analysis applied to novel oral anticoagulants","General Methodology",195,"{a} framework for value of implementation analysis applied to novel oral anticoagulants  abstract: cost-effective interventions are often implemented slowly and suboptimally in clinical practice. [@faria_how_2017]","{a} framework for value of implementation analysis applied to novel oral anticoagulants  abstract: cost-effective interventions are often implemented slowly and suboptimally in clinical practice.","[@faria_how_2017]"
"faria_how_2017","How to invest in getting cost-effective technologies into practice? {A} framework for value of implementation analysis applied to novel oral anticoagulants","General Methodology",130,"a framework is proposed to use cost-effectiveness analysis to inform decisions on how best to invest in implementation activities. [@faria_how_2017]","a framework is proposed to use cost-effectiveness analysis to inform decisions on how best to invest in implementation activities.","[@faria_how_2017]"
"faria_how_2017","How to invest in getting cost-effective technologies into practice? {A} framework for value of implementation analysis applied to novel oral anticoagulants","Bayesian",209,"this framework addresses 2 key issues: 1) how to account for changes in utilization in the future in the absence of implementation activities; and 2) how to prioritize implementation efforts between subgroups. [@faria_how_2017]","this framework addresses 2 key issues: 1) how to account for changes in utilization in the future in the absence of implementation activities; and 2) how to prioritize implementation efforts between subgroups.","[@faria_how_2017]"
"faria_how_2017","How to invest in getting cost-effective technologies into practice? {A} framework for value of implementation analysis applied to novel oral anticoagulants","General Methodology",170,"a case study demonstrates the framework’s application: novel oral anticoagulants (noacs) for the prevention of stroke in the national health service in england and wales. [@faria_how_2017]","a case study demonstrates the framework’s application: novel oral anticoagulants (noacs) for the prevention of stroke in the national health service in england and wales.","[@faria_how_2017]"
"bonneau_optimal_2017","Optimal control of an invasive species using a reaction‐diffusion model and linear programming","Optimization",112,"title: optimal control of an invasive species using a reaction‐diffusion model and linear programming  abstract: [@bonneau_optimal_2017]","title: optimal control of an invasive species using a reaction‐diffusion model and linear programming  abstract:","[@bonneau_optimal_2017]"
"hosseinian-far_mathematical_2017","Mathematical and computational modelling frameworks for integrated sustainability assessment ({ISA})","General Methodology",163,"title: mathematical and computational modelling frameworks for integrated sustainability assessment ({isa})      annotation: export date: 05 may 2024; cited by: 18 [@hosseinian-far_mathematical_2017]","title: mathematical and computational modelling frameworks for integrated sustainability assessment ({isa})      annotation: export date: 05 may 2024; cited by: 18","[@hosseinian-far_mathematical_2017]"
"habib_integrated_2017","An integrated location-allocation model for temporary disaster debris management under an uncertain environment","General Methodology",174,"title: an integrated location-allocation model for temporary disaster debris management under an uncertain environment      annotation: export date: 05 may 2024; cited by: 59 [@habib_integrated_2017]","title: an integrated location-allocation model for temporary disaster debris management under an uncertain environment      annotation: export date: 05 may 2024; cited by: 59","[@habib_integrated_2017]"
"thompson_using_2017","Using the payoff time in decision-analytic models: a case study for using statins in primary prevention","General Methodology",133,"title: using the payoff time in decision-analytic models: a case study for using statins in primary prevention  abstract: background. [@thompson_using_2017]","title: using the payoff time in decision-analytic models: a case study for using statins in primary prevention  abstract: background.","[@thompson_using_2017]"
"thompson_using_2017","Using the payoff time in decision-analytic models: a case study for using statins in primary prevention","General Methodology",138,"the aim of this study was to expand the application of the payoff time and provide an example of its use within a decision-analytic model. [@thompson_using_2017]","the aim of this study was to expand the application of the payoff time and provide an example of its use within a decision-analytic model.","[@thompson_using_2017]"
"thompson_using_2017","Using the payoff time in decision-analytic models: a case study for using statins in primary prevention","General Methodology",8,"methods. [@thompson_using_2017]","methods.","[@thompson_using_2017]"
"thompson_using_2017","Using the payoff time in decision-analytic models: a case study for using statins in primary prevention","General Methodology",230,"an existing state-transition markov model taking a health service perspective and a life-time horizon was adapted to include 3 levels of direct treatment disutility (dtd) associated with ongoing statin use: 0.005, 0.01, and 0.015. [@thompson_using_2017]","an existing state-transition markov model taking a health service perspective and a life-time horizon was adapted to include 3 levels of direct treatment disutility (dtd) associated with ongoing statin use: 0.005, 0.01, and 0.015.","[@thompson_using_2017]"
"thompson_using_2017","Using the payoff time in decision-analytic models: a case study for using statins in primary prevention","General Methodology",183,"this study has shown how the payoff time can be readily applied to an existing decision-analytic model and be used to complement existing measures to guide healthcare decision making. [@thompson_using_2017]","this study has shown how the payoff time can be readily applied to an existing decision-analytic model and be used to complement existing measures to guide healthcare decision making.","[@thompson_using_2017]"
"kenett_bayesian_2017","Bayesian networks: theory, applications and sensitivity issues","General Methodology",109,"data science is about generating information from a given data set using applications of statistical methods. [@kenett_bayesian_2017]","data science is about generating information from a given data set using applications of statistical methods.","[@kenett_bayesian_2017]"
"kenett_bayesian_2017","Bayesian networks: theory, applications and sensitivity issues","General Methodology",245,"the quality of the information derived from data analysis is dependent on various dimensions, including the communication of results, the ability to translate results into actionable tasks and the capability to integrate various data sources [r. [@kenett_bayesian_2017]","the quality of the information derived from data analysis is dependent on various dimensions, including the communication of results, the ability to translate results into actionable tasks and the capability to integrate various data sources [r.","[@kenett_bayesian_2017]"
"kenett_bayesian_2017","Bayesian networks: theory, applications and sensitivity issues","General Methodology",149,"it expands the treatment of bns as a statistical tool and provides a wider scope of statistical analysis that matches current trends in data science. [@kenett_bayesian_2017]","it expands the treatment of bns as a statistical tool and provides a wider scope of statistical analysis that matches current trends in data science.","[@kenett_bayesian_2017]"
"kenett_bayesian_2017","Bayesian networks: theory, applications and sensitivity issues","General Methodology",192,"the second example is from the monitoring of an open source community and is a data rich application that combines expert opinion, social network analysis and continuous operational variables. [@kenett_bayesian_2017]","the second example is from the monitoring of an open source community and is a data rich application that combines expert opinion, social network analysis and continuous operational variables.","[@kenett_bayesian_2017]"
"kenett_bayesian_2017","Bayesian networks: theory, applications and sensitivity issues","General Methodology",112,"section 4 discusses sensitivity analysis of bns, sec. 5 lists a range of software applications implementing bns. [@kenett_bayesian_2017]","section 4 discusses sensitivity analysis of bns, sec. 5 lists a range of software applications implementing bns.","[@kenett_bayesian_2017]"
"cox_probabilistic_2017","Probabilistic risk analysis","General Methodology",34,"title: probabilistic risk analysis [@cox_probabilistic_2017]","title: probabilistic risk analysis","[@cox_probabilistic_2017]"
"pope_quantifying_2017","Quantifying how user-interaction can modify the perception of the value of climate information: a bayesian approach","Bayesian",144,"title: quantifying how user-interaction can modify the perception of the value of climate information: a bayesian approach    keywords: bayesian [@pope_quantifying_2017]","title: quantifying how user-interaction can modify the perception of the value of climate information: a bayesian approach    keywords: bayesian","[@pope_quantifying_2017]"
"razzouk_introduction_2017","Introduction to statistics and modeling methods applied in health economics","General Methodology",82,"title: introduction to statistics and modeling methods applied in health economics [@razzouk_introduction_2017]","title: introduction to statistics and modeling methods applied in health economics","[@razzouk_introduction_2017]"
"wang_sensitivity_2017","Sensitivity analysis of decision making under dependent uncertainties using copulas","General Methodology",90,"title: sensitivity analysis of decision making under dependent uncertainties using copulas [@wang_sensitivity_2017]","title: sensitivity analysis of decision making under dependent uncertainties using copulas","[@wang_sensitivity_2017]"
"mishra_context-driven_2017","A context-driven framework for proactive decision support with applications","General Methodology",82,"title: a context-driven framework for proactive decision support with applications [@mishra_context-driven_2017]","title: a context-driven framework for proactive decision support with applications","[@mishra_context-driven_2017]"
"chacon-hurtado_rainfall_2017","Rainfall and streamflow sensor network design: a review of applications, classification, and a proposed framework","General Methodology",120,"title: rainfall and streamflow sensor network design: a review of applications, classification, and a proposed framework [@chacon-hurtado_rainfall_2017]","title: rainfall and streamflow sensor network design: a review of applications, classification, and a proposed framework","[@chacon-hurtado_rainfall_2017]"
"grose_risk-based_2017","Risk-based surveillance planning: a practical value-of-information approach for data acquisition in producing fields","Decision Analysis",123,"title: risk-based surveillance planning: a practical value-of-information approach for data acquisition in producing fields [@grose_risk-based_2017]","title: risk-based surveillance planning: a practical value-of-information approach for data acquisition in producing fields","[@grose_risk-based_2017]"
"tobe_cost-effectiveness_2017","Cost-effectiveness analysis of neonatal screening of critical congenital heart defects in {China}","General Methodology",104,"title: cost-effectiveness analysis of neonatal screening of critical congenital heart defects in {china} [@tobe_cost-effectiveness_2017]","title: cost-effectiveness analysis of neonatal screening of critical congenital heart defects in {china}","[@tobe_cost-effectiveness_2017]"
"fouad_developing_2017","Developing a multi-criteria framework for innovation and biologic drugs assessment decision making in {Egypt}","General Methodology",116,"title: developing a multi-criteria framework for innovation and biologic drugs assessment decision making in {egypt} [@fouad_developing_2017]","title: developing a multi-criteria framework for innovation and biologic drugs assessment decision making in {egypt}","[@fouad_developing_2017]"
"dahabreh_modeling_2017","Modeling and simulation in the context of health technology assessment: review of existing guidance, future research needs, and validity assessment","Simulation",154,"title: modeling and simulation in the context of health technology assessment: review of existing guidance, future research needs, and validity assessment [@dahabreh_modeling_2017]","title: modeling and simulation in the context of health technology assessment: review of existing guidance, future research needs, and validity assessment","[@dahabreh_modeling_2017]"
"galioto_assessing_2017","Assessing the potential economic viability of precision irrigation: a theoretical analysis and pilot empirical evaluation","General Methodology",128,"title: assessing the potential economic viability of precision irrigation: a theoretical analysis and pilot empirical evaluation [@galioto_assessing_2017]","title: assessing the potential economic viability of precision irrigation: a theoretical analysis and pilot empirical evaluation","[@galioto_assessing_2017]"
"wu_integrated_2017","Integrated sustainability assessment of public rental housing community based on a hybrid method of {AHP}-entropy weight and cloud model","General Methodology",143,"title: integrated sustainability assessment of public rental housing community based on a hybrid method of {ahp}-entropy weight and cloud model [@wu_integrated_2017]","title: integrated sustainability assessment of public rental housing community based on a hybrid method of {ahp}-entropy weight and cloud model","[@wu_integrated_2017]"
"agapova_proposed_2017","A proposed approach for quantitative benefit‐risk assessment in diagnostic radiology guideline development: the american college of radiology appropriateness criteria example","General Methodology",192,"title: a proposed approach for quantitative benefit‐risk assessment in diagnostic radiology guideline development: the american college of radiology appropriateness criteria example  abstract: [@agapova_proposed_2017]","title: a proposed approach for quantitative benefit‐risk assessment in diagnostic radiology guideline development: the american college of radiology appropriateness criteria example  abstract:","[@agapova_proposed_2017]"
"goerlandt_validity_2017","Validity and validation of safety-related quantitative risk analysis: a review","General Methodology",85,"title: validity and validation of safety-related quantitative risk analysis: a review [@goerlandt_validity_2017]","title: validity and validation of safety-related quantitative risk analysis: a review","[@goerlandt_validity_2017]"
"gil_martin_typology_2019","Typology and decision-making process of cinema audiences in theaters: actors and directors","General Methodology",173,"it aims to define, through a correctly applied methodology, the motivational factors (internal, external or experiential) that determine the choice of one film over another. [@gil_martin_typology_2019]","it aims to define, through a correctly applied methodology, the motivational factors (internal, external or experiential) that determine the choice of one film over another.","[@gil_martin_typology_2019]"
"gil_martin_typology_2019","Typology and decision-making process of cinema audiences in theaters: actors and directors","General Methodology",142,"the analysis of these factors has been able to establish those that have a greater or lesser effect on the consumer’s decision-making process. [@gil_martin_typology_2019]","the analysis of these factors has been able to establish those that have a greater or lesser effect on the consumer’s decision-making process.","[@gil_martin_typology_2019]"
"gil_martin_typology_2019","Typology and decision-making process of cinema audiences in theaters: actors and directors","General Methodology",153,"likewise, the applied methodology has allowed us to establish, with a discriminant and predictive nature, the different typologies of spanish moviegoers. [@gil_martin_typology_2019]","likewise, the applied methodology has allowed us to establish, with a discriminant and predictive nature, the different typologies of spanish moviegoers.","[@gil_martin_typology_2019]"
"puaschunder_big_2019","Big data, algorithms and health data","General Methodology",179,"title: big data, algorithms and health data  abstract: the most recent decade featured a data revolution in the healthcare sector in screening, monitoring and coordination of aid. [@puaschunder_big_2019]","title: big data, algorithms and health data  abstract: the most recent decade featured a data revolution in the healthcare sector in screening, monitoring and coordination of aid.","[@puaschunder_big_2019]"
"puaschunder_big_2019","Big data, algorithms and health data","General Methodology",169,"the call for developing a legal, policy and ethical framework for using ai, big data, robotics and algorithms in healthcare has therefore reached unprecedented momentum. [@puaschunder_big_2019]","the call for developing a legal, policy and ethical framework for using ai, big data, robotics and algorithms in healthcare has therefore reached unprecedented momentum.","[@puaschunder_big_2019]"
"puaschunder_big_2019","Big data, algorithms and health data","General Methodology",314,"the report aims at helping a broad spectrum of stakeholders understand the impact of ai, big data, algorithms and health data based on information about key opportunities and risks but also future market challenges and policy developments for orchestrating the concerted pursuit of improving healthcare excellence. [@puaschunder_big_2019]","the report aims at helping a broad spectrum of stakeholders understand the impact of ai, big data, algorithms and health data based on information about key opportunities and risks but also future market challenges and policy developments for orchestrating the concerted pursuit of improving healthcare excellence.","[@puaschunder_big_2019]"
"puaschunder_big_2019","Big data, algorithms and health data","General Methodology",285,"robots and algorithms may only be citizens for their protection and upholding social norms towards human-like creatures that should be considered slave-like for economic and liability purposes without gaining civil privileges such as voting, property rights and holding public offices. [@puaschunder_big_2019]","robots and algorithms may only be citizens for their protection and upholding social norms towards human-like creatures that should be considered slave-like for economic and liability purposes without gaining civil privileges such as voting, property rights and holding public offices.","[@puaschunder_big_2019]"
"geumpana_priority_2019","Priority over cloudlet terminal ({POCkET}): a system framework for disaster response environments","Bayesian",314,"title: priority over cloudlet terminal ({pocket}): a system framework for disaster response environments  abstract: massive amounts of data during disaster situations require timely collection and analysis for the emergency team to mitigate the impact of the disaster under challenging social-technical conditions. [@geumpana_priority_2019]","title: priority over cloudlet terminal ({pocket}): a system framework for disaster response environments  abstract: massive amounts of data during disaster situations require timely collection and analysis for the emergency team to mitigate the impact of the disaster under challenging social-technical conditions.","[@geumpana_priority_2019]"
"geumpana_priority_2019","Priority over cloudlet terminal ({POCkET}): a system framework for disaster response environments","Bayesian",111,"our solution is called the priority over cloudlet terminal (pocket) framework which consists of two components. [@geumpana_priority_2019]","our solution is called the priority over cloudlet terminal (pocket) framework which consists of two components.","[@geumpana_priority_2019]"
"geumpana_priority_2019","Priority over cloudlet terminal ({POCkET}): a system framework for disaster response environments","General Methodology",152,"the first one, called gimo, is a generic disaster information model that defines dataset attributes and how each attribute is structured and customized. [@geumpana_priority_2019]","the first one, called gimo, is a generic disaster information model that defines dataset attributes and how each attribute is structured and customized.","[@geumpana_priority_2019]"
"geumpana_priority_2019","Priority over cloudlet terminal ({POCkET}): a system framework for disaster response environments","Simulation",91,"in this thesis, the pocket framework is simulated using a discrete event simulation system. [@geumpana_priority_2019]","in this thesis, the pocket framework is simulated using a discrete event simulation system.","[@geumpana_priority_2019]"
"geumpana_priority_2019","Priority over cloudlet terminal ({POCkET}): a system framework for disaster response environments","General Methodology",184,"for that reason, pocket framework has provided a potential alternative solution to the network problem in disaster environments by modifying the emergency response system requirements. [@geumpana_priority_2019]","for that reason, pocket framework has provided a potential alternative solution to the network problem in disaster environments by modifying the emergency response system requirements.","[@geumpana_priority_2019]"
"bakaloglou_obstacles_2019","Obstacles to lower energy consumption in the residential sector : an empirical analysis of the french case","General Methodology",277,"title: obstacles to lower energy consumption in the residential sector : an empirical analysis of the french case  abstract: reducing the energy consumption of the residential sector is a major stake in the context of the energy transition and the fight against climate change. [@bakaloglou_obstacles_2019]","title: obstacles to lower energy consumption in the residential sector : an empirical analysis of the french case  abstract: reducing the energy consumption of the residential sector is a major stake in the context of the energy transition and the fight against climate change.","[@bakaloglou_obstacles_2019]"
"bakaloglou_obstacles_2019","Obstacles to lower energy consumption in the residential sector : an empirical analysis of the french case","General Methodology",192,"we use the methodology of the discrete choice experiment to assess the role of perceived risk and uncertainty on retrofit quality and energy price as barrier to the energy renovation decision. [@bakaloglou_obstacles_2019]","we use the methodology of the discrete choice experiment to assess the role of perceived risk and uncertainty on retrofit quality and energy price as barrier to the energy renovation decision.","[@bakaloglou_obstacles_2019]"
"mathikolonis_surrogate-based_2019","Surrogate-based optimization using mutual information for computer experiments (optim-{MICE})","Optimization",207,"title: surrogate-based optimization using mutual information for computer experiments (optim-{mice})  abstract: the computational burden of running a complex computer model can make optimization impractical. [@mathikolonis_surrogate-based_2019]","title: surrogate-based optimization using mutual information for computer experiments (optim-{mice})  abstract: the computational burden of running a complex computer model can make optimization impractical.","[@mathikolonis_surrogate-based_2019]"
"mathikolonis_surrogate-based_2019","Surrogate-based optimization using mutual information for computer experiments (optim-{MICE})","General Methodology",150,"gaussian processes (gps) are statistical surrogates (also known as emulators) that alleviate this issue since they cheaply replace the computer model. [@mathikolonis_surrogate-based_2019]","gaussian processes (gps) are statistical surrogates (also known as emulators) that alleviate this issue since they cheaply replace the computer model.","[@mathikolonis_surrogate-based_2019]"
"mathikolonis_surrogate-based_2019","Surrogate-based optimization using mutual information for computer experiments (optim-{MICE})","General Methodology",334,"taking advantage of parallelism of the evaluation of the unknown function, the uncertain regions are explored simultaneously, and a batch of input points is chosen using mutual information for computer experiments (mice), a sequential design algorithm which maximizes the information theoretic mutual information over the input space. [@mathikolonis_surrogate-based_2019]","taking advantage of parallelism of the evaluation of the unknown function, the uncertain regions are explored simultaneously, and a batch of input points is chosen using mutual information for computer experiments (mice), a sequential design algorithm which maximizes the information theoretic mutual information over the input space.","[@mathikolonis_surrogate-based_2019]"
"gregg_object-based_2019","Object-based image analysis protocol for historic trend analysis of forest structure in cumulative effects assessment of forest biodiversity : a feasibility analysis","General Methodology",387,"title: object-based image analysis protocol for historic trend analysis of forest structure in cumulative effects assessment of forest biodiversity : a feasibility analysis  abstract: this research examined the feasibility of a geomatics solution to establish baseline conditions in forest structure using historical aerial photography and to assess trends in forest structure over time. [@gregg_object-based_2019]","title: object-based image analysis protocol for historic trend analysis of forest structure in cumulative effects assessment of forest biodiversity : a feasibility analysis  abstract: this research examined the feasibility of a geomatics solution to establish baseline conditions in forest structure using historical aerial photography and to assess trends in forest structure over time.","[@gregg_object-based_2019]"
"gregg_object-based_2019","Object-based image analysis protocol for historic trend analysis of forest structure in cumulative effects assessment of forest biodiversity : a feasibility analysis","General Methodology",76,"the geomatics feasibility assessment framework (gfaf), designed for this res [@gregg_object-based_2019]","the geomatics feasibility assessment framework (gfaf), designed for this res","[@gregg_object-based_2019]"
"kim_are_2019","Are groundwater monitoring networks economical? {Cost}-benefit analysis on the long-term groundwater supply project of {South} {Korea}","General Methodology",243,"{cost}-benefit analysis on the long-term groundwater supply project of {south} {korea}  abstract: analyses of the relative economic efficiencies of surface-water and groundwater are important for policy-makers in many water-stressed countries. [@kim_are_2019]","{cost}-benefit analysis on the long-term groundwater supply project of {south} {korea}  abstract: analyses of the relative economic efficiencies of surface-water and groundwater are important for policy-makers in many water-stressed countries.","[@kim_are_2019]"
"kim_are_2019","Are groundwater monitoring networks economical? {Cost}-benefit analysis on the long-term groundwater supply project of {South} {Korea}","General Methodology",252,"employing the basic frameworks of the british and us geological surveys, we examined the economic viability of groundwater monitoring networks in south korea, based on an analytic hierarchy process (ahp), pairwise comparison, and cost–benefit analysis. [@kim_are_2019]","employing the basic frameworks of the british and us geological surveys, we examined the economic viability of groundwater monitoring networks in south korea, based on an analytic hierarchy process (ahp), pairwise comparison, and cost–benefit analysis.","[@kim_are_2019]"
"kim_are_2019","Are groundwater monitoring networks economical? {Cost}-benefit analysis on the long-term groundwater supply project of {South} {Korea}","General Methodology",144,"a sensitivity analysis indicates that the monitoring project is still economical, even if the network installation schedule is delayed slightly. [@kim_are_2019]","a sensitivity analysis indicates that the monitoring project is still economical, even if the network installation schedule is delayed slightly.","[@kim_are_2019]"
