date,bibref,method_category,sentence
2011,pattReportUncertaintyMethods2011,No specific method identified,Report on Uncertainty Methods
2011,peraireOPUSDESIGNWww2011,No specific method identified,OPUS DESIGN Www. Opusdesign. Us
2011,petrouEconomicEvaluationUsing2011,No specific method identified,"Economic Evaluation Using Decision Analytical Modelling: Design, Conduct, Analysis, and Reporting"
2011,photovoltaicsIEEEGuideSmart2011,No specific method identified,"IEEE Guide for Smart Grid Interoperability of Energy Technology and Information Technology Operation with the Electric Power System (EPS), End-Use Applications, and Loads"
2011,psychogiopoulouCaseStudyReport2011,No specific method identified,Case Study Report
2011,rahimanBayesianNetworks2011,No specific method identified,Bayesian Networks
2011,reissSocietyRiskAnalysis2011,Probabilistic Methods,Society for Risk Analysis Annual Meeting
2011,ronitTechnophiliaNewModel2011,No specific method identified,Technophilia: A New Model for Technology Adoption
2011,rumpuInformationExchangeDisruption2011,No specific method identified,Information Exchange and Disruption Risk in Multimodal Maritime Supply Chains
2011,rungeNonnativeFishControl2011,No specific method identified,Non-Native Fish Control below Glen Canyon Dam: Report from a Structured Decision-Making Project
2011,sandersWANOptimizationBusiness2011,Optimization Methods,WAN Optimization: A Business Process Reengineering and Knowledge Value Added Approach
2011,satzgerCosteffectiveInformationQuality2011,No specific method identified,Cost-Effective Information Quality Improvement in Multi-Labelling Scenarios Using Human-Based Electronic Services
2011,schillerNationalEnergyEfficiency2011,No specific method identified,"National Energy Efficiency Evaluation, Measurement and Verification (EM\&V) Standard: Scoping Study of Issues and Implementation Requirements"
2011,schultzBayesianNetworksModeling2011,Bayesian Methods,Bayesian Networks for Modeling Dredging Decisions
2011,schultzIntroductionUsingBayesian2011,Bayesian Methods,An Introduction to Using Bayesian Networks to Model Dredging Decisions
2011,schweberContingenciesEarlyNuclear2011,No specific method identified,"Contingencies of the Early Nuclear Arms Race: Michael Gordin: Red Cloud at Dawn: Truman, Stalin, and the End of the Atomic Monopoly. New York: Farrar, Straus and Giroux, 2009, 416pp, US \$28 HB"
2011,seppanenCommunicationMonthlyFigures2011,No specific method identified,Communication around the Monthly Figures: A Case Study on Management Reporting Practices
2011,shiGameTheoreticApproach2011,No specific method identified,A Game Theoretic Approach in Green Supply Chain Management
2011,sillanpaaSupplyChainPerformance2011,No specific method identified,Supply Chain Performance Measurement in the Manufacturing Industry : A Single Case Study Research to Develop a Supply Chain Performance Measurement Framework
2011,staniecUwarunkowaniaSkutecznosciZarzadzania2011,No specific method identified,Uwarunkowania Skuteczno\'sci Zarz adzania Ryzykiem w Organizacjach
2011,startsevaAnalysisMitigationRisks2011,No specific method identified,The Analysis and Mitigation of Risks in FMCG Supply Chain: The Case of British American Tobacco Eastern Europe
2011,stewartGeospatialBasedDecision2011,No specific method identified,A Geospatial Based Decision Framework for Extending MARSSIM Regulatory Principles into the Subsurface
2011,toCLIMATECHANGEADAPTATION2011,No specific method identified,Climate Change Adaptation and Water Governance
2011,tolCheckingPriceTag2011,No specific method identified,Checking the Price Tag on Catastrophe: The Social Cost of Carbon under Non-Linear Climate Response
2011,tounesInfluenceEntrepreneurialOrientation2011,No specific method identified,Influence of Entrepreneurial Orientation on Environmental Intention of Managers of SMEs in Textile-Clothing Industry
2011,trapeznikovChallengesBusinessProcess2011,No specific method identified,Challenges of Business Process Automation for Small and Medium Enterprises
2011,vaheyMeasuringOutputGap2011,No specific method identified,Measuring Output Gap Nowcast Uncertainty
2011,vuoriSocialMediaChanging2011,No specific method identified,Social Media Changing the Competitive Intelligence Process: Elicitation of Employees' Competitive Knowledge
2011,vuoriSocialMediaChanging2011,No specific method identified,Social Media Changing the Competitive Intelligence Process: Elicitation of Employees' Competitive Knowledge
2011,wagnerInventoryRoutingAStrategic2011,No specific method identified,Inventory Routing-a Strategic Management Accounting Perspective
2012,adamantiosManagementInformationSystems2012,No specific method identified,"Management Information Systems for Enterprise Applications: Business Issues, Research and Solutions: Business Issues, Research and Solutions"
2012,andersenEDIDataNetworking2012,No specific method identified,EDI and Data Networking in the Public Sector
2012,aytesPeelingOnionIT2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,aytesPeelingOnionIT2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,badkeTeachingResearchProcesses2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,badkeTeachingResearchProcesses2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,baioBayesianMethodsHealth2012,Bayesian Methods,Bayesian Methods in Health Economics
2012,balmerSecrecyScienceHistorical2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,balmerSecrecyScienceHistorical2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,bandeljSocialismVanquishedSocialism2012,No specific method identified,"Socialism Vanquished, Socialism Challenged: Eastern Europe and China, 1989-2009"
2012,barringtonMachinesThatUnderstand2012,No specific method identified,Machines That Understand Music
2012,bewajiInsiderTradingDeveloping2012,No specific method identified,Insider Trading in Developing Jurisdictions: Achieving an Effective Regulatory Regime
2012,bGlobalDiffusionAdoption2012,No specific method identified,Global Diffusion and Adoption of Technologies for Knowledge and Information Sharing
2012,bickelClimateChangeClimate2012,No specific method identified,"Climate Change, Climate Engineering R\&d"
2012,bierlingParticipantsInformationOutcomes2012,No specific method identified,Participants and Information Outcomes in Planning Organizations
2012,binBiotechInnovationsFundamental2012,No specific method identified,Biotech Innovations and Fundamental Rights
2012,blackmonIncentiveRegulationRegulation2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,blackmonIncentiveRegulationRegulation2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,boardEarthScienceApplications2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,boardEarthScienceApplications2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,bockTechnologyNonviolenceSocial2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,bockTechnologyNonviolenceSocial2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,boselloClimateChangeAdaptation2012,No specific method identified,"Climate Change, Adaptation"
2012,bostockEBOOKTeaching14192012,No specific method identified,EBOOK: Teaching 14-19: A Handbook
2012,bostromCommunicationYearbook2012,No specific method identified,Communication Yearbook 7
2012,bouchlaghemCollaborativeWorkingConstruction2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,bouchlaghemCollaborativeWorkingConstruction2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,brathwaiteValueinformedSpaceSystems2012,No specific method identified,Value-Informed Space Systems Design and Acquisition
2012,braziunasDecisiontheoreticElicitationGeneralized2012,No specific method identified,Decision-Theoretic Elicitation of Generalized Additive Utilities
2012,brickleyContractDurationEvidence2012,No specific method identified,Contract Duration: Evidence from Franchise Contracts
2012,bruceUnderstandingDecisionmakingProcesses2012,No specific method identified,Understanding Decision-Making Processes in Airline Operations Control
2012,bullAdvancedManufacturingEnterprise2012,No specific method identified,Advanced Manufacturing and Enterprise Engineering
2012,burlesonCommunicationYearbook202012,No specific method identified,Communication Yearbook 20
2012,chewKnowledgeDrivenService2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,chewKnowledgeDrivenService2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,chewKnowledgeDrivenService2012a,No specific method identified,Knowledge Driven Service Innovation and Management: IT Strategies for Business Alignment and Value Creation
2012,clementsMedicalGeneticsCasebook2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,clementsMedicalGeneticsCasebook2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,cookeStatisticsScienceFoundations2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,cookeStatisticsScienceFoundations2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,cowndenEvolutionarilyStableLearning2012,No specific method identified,Evolutionarily Stable Learning and Foraging Strategies
2012,coxjrRiskAnalysisFoundations2012,Probabilistic Methods,"Risk Analysis Foundations, Models, and Methods"
2012,demetriouOrganisationalSocialMedia2012,No specific method identified,Organisational Social Media Platforms: Exploring User Participation Behaviours in Software and Technology Firms
2012,derocquignyModellingRiskUncertainty2012,No specific method identified,"Modelling under Risk and Uncertainty: An Introduction to Statistical, Phenomenological and Computational Methods"
2012,dillenburgerMinimizationCollateralDamage2012,No specific method identified,Minimization of Collateral Damage in Airdrops and Airstrikes
2012,dimitrakopoulosGeostatisticsNextCentury2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,dimitrakopoulosGeostatisticsNextCentury2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,dugganEnhancingDecisionMaking2012,No specific method identified,Enhancing Decision Making during Initial Operations at Surge Events
2012,dwairyForagingTheoryApplied2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,dwairyForagingTheoryApplied2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,dwyerCommunicationBusinessProfessions2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,dwyerCommunicationBusinessProfessions2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,elmasryTacticalWirelessCommunications2012,No specific method identified,Tactical Wireless Communications and Networks: Design Concepts and Challenges
2012,everndenInformationFirst2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,everndenInformationFirst2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,fennellyHandbookLossPrevention2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,fennellyHandbookLossPrevention2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,fladungScientificCommunicationEconomic2012,Probabilistic Methods,"Bayesian,Bayesian Decision Analysis,Monte Carlo simulation"
2012,fladungScientificCommunicationEconomic2012,Bayesian Methods,"Bayesian,Bayesian Decision Analysis,Monte Carlo simulation"
2012,fladungScientificCommunicationEconomic2012,Decision Trees and Networks,"Bayesian,Bayesian Decision Analysis,Monte Carlo simulation"
2012,furmanClinicalPsychologyIndustry2012,No specific method identified,Clinical Psychology in Industry: A Conceptual Model and Case Study
2012,ganzhornBridgingInformationGap2012,No specific method identified,Bridging the Information Gap: For Small and Medium Enterprises
2012,ghonaimySecurityInformationSociety2012,No specific method identified,Security in the Information Society: Visions and Perspectives
2012,gilesHandbookIntergroupCommunication2012,No specific method identified,The Handbook of Intergroup Communication
2012,gilottaTrasparenzaRiservatezzaNella2012,No specific method identified,Trasparenza e Riservatezza Nella Societ\`a Quotata
2012,godinIcarusDeceptionHow2012,No specific method identified,The Icarus Deception: How High Will You Fly?
2012,greenMisLeadingIndicatorsHow2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,greenMisLeadingIndicatorsHow2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,gregoryStructuredDecisionMaking2012,No specific method identified,Structured Decision Making: A Practical Guide to Environmental Management Choices
2012,groverStrategicEconomicDecisionmaking2012,Bayesian Methods,Strategic Economic Decision-Making: Using Bayesian Belief Networks to Solve Complex Problems
2012,guptaEconomicAnalysisImplantable2012,No specific method identified,An Economic Analysis of Implantable Doppler Technology in Head and Neck Reconstruction
2012,heimelUnificationOMVsProject2012,No specific method identified,Unification of OMV's Project Management Procedures: Analysis of an Applied Change Management Approach with Regard to Sources of Resistance and Potential Improvements
2012,hobbsEnergyDecisionsEnvironment2012,Multi-Criteria Decision Analysis,Energy Decisions and the Environment: A Guide to the Use of Multicriteria Methods
2012,hollandEconomicAnalysisEcosystembased2012,No specific method identified,Economic Analysis for Ecosystem-Based Management: Applications to Marine and Coastal Environments
2012,husereauValuebasedPricingPharmaceuticals2012,No specific method identified,Value-Based Pricing of Pharmaceuticals in Canada: Opportunities to Expand the Role of Health Technology Assessment?
2012,isomYourCompanyReady2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,isomYourCompanyReady2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,jammerneggSequentialBinaryInvestment2012,Bayesian Methods,Sequential Binary Investment Decisions: A Bayesian Approach
2012,jemielniakNewKnowledgeWorkers2012,No specific method identified,The New Knowledge Workers
2012,jeschkePrethinkingWorkInsights2012,No specific method identified,Prethinking Work: Insights on the Future of Work
2012,johnTeaching1419Handbook2012,No specific method identified,Teaching 14-19: A Handbook: A Handbook
2012,jousmaGroundwaterContaminationUse2012,No specific method identified,"Groundwater Contamination: Use of Models in Decision-Making: Proceedings of the International Conference on Groundwater Contamination: Use of Models in Decision-Making, Amsterdam, the Netherlands, 26--29 October 1987, Organized by the International Ground Water Modeling Center (IGWMC), Indianapolis---Delft"
2012,kallioinenBondsTradeEconomic2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,kallioinenBondsTradeEconomic2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,katsioloudesGlobalStrategicPlanning2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,katsioloudesGlobalStrategicPlanning2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,keeneManagingConservationMuseums2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation,Social Science / Archaeology"
2012,keeneManagingConservationMuseums2012,Bayesian Methods,"Bayesian,Monte Carlo simulation,Social Science / Archaeology"
2012,kennedyCrimeTerrorismRisk2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,kennedyCrimeTerrorismRisk2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,khaderValueInformationDesign2012,No specific method identified,Value of Information in Design of Groundwater Quality Monitoring Network under Uncertainty
2012,kmetzMappingWorkflowsManaging2012,No specific method identified,Mapping Workflows and Managing Knowledge: Capturing Formal andTacit Knowledge to ImprovePerformance
2012,kostagiolasManagingIntellectualCapital2012,No specific method identified,Managing Intellectual Capital in Libraries: Beyond the Balance Sheet
2012,landGravestonesGoogleImpact2012,No specific method identified,From Gravestones to Google: The Impact of Internet Adoption on Genealogists' Information and Communication Behaviors
2012,lapiedraalcamiIntroductionManagementInformation2012,No specific method identified,Introduction to Management Information Systems
2012,laxminarayanValueInformationMethodological2012,No specific method identified,The Value of Information: Methodological Frontiers and New Applications in Environment and Health
2012,ley-chavezQuantitativeModelsDesign2012,No specific method identified,Quantitative Models to Design and Evaluate Risk-Specific Screening Strategies for Cervical Cancer Prevention
2012,lordPlanningGameInformation2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,lordPlanningGameInformation2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,lowrancePrivacyConfidentialityHealth2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,lowrancePrivacyConfidentialityHealth2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,mallawaarachchiInvestmentAdaptationResponse2012,No specific method identified,Investment as an Adaptation Response to Water Scarcity
2012,mappElusiveWestContest2012,No specific method identified,"The Elusive West and the Contest for Empire, 1713-1763"
2012,mirandaPortraitMasterGenetic2012,No specific method identified,Portrait of the Master Genetic Counselor: A Qualitative Investigation of Expertise in Genetic Counseling
2012,morabitoBusinessTechnologyOrganization2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,morabitoBusinessTechnologyOrganization2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,munRealOptionsAnalysis2012,Real Options,Real Options Analysis: Tools and Techniques for Valuing Strategic Investments and Decisions
2012,murrayPoliticsPatentLaw2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,murrayPoliticsPatentLaw2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,neapolitanContemporaryArtificialIntelligence2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation,Technology & Engineering / Electronics / General"
2012,neapolitanContemporaryArtificialIntelligence2012,Bayesian Methods,"Bayesian,Monte Carlo simulation,Technology & Engineering / Electronics / General"
2012,neapolitanContemporaryArtificialIntelligence2012,Expert Systems and AI,Contemporary Artificial Intelligence
2012,nguyenMarketingDecisionsUncertainty2012,No specific method identified,Marketing Decisions under Uncertainty
2012,nicholsonMicroeconomicTheoryBasic2012,No specific method identified,Microeconomic Theory: Basic Principles and Extensions
2012,oliverFoundationsAssumedBusiness2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,oliverFoundationsAssumedBusiness2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,palfreyEvaluationRealWorld2012,No specific method identified,Evaluation for the Real World: The Impact of Evidence in Policy Making
2012,paquetImplementingCiscoIOS2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,paquetImplementingCiscoIOS2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,pfeifferDiffusionElectronicData2012,No specific method identified,The Diffusion of Electronic Data Interchange
2012,philpottFISMARiskManagement2012,No specific method identified,FISMA and the Risk Management Framework: The New Practice of Federal Cyber Security
2012,powellOptimalLearning2012,No specific method identified,Optimal Learning
2012,prowGoverningWinEnhancing2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,prowGoverningWinEnhancing2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,pscheidtAppropriateInformationSystem2012,No specific method identified,Appropriate Information System Development: A Methodology for Sustainable Cross-Cultural Information System Production and Use
2012,randallUnderstandingEnduserDecisions2012,No specific method identified,Understanding End-User Decisions and the Value of Climate Information under the Risks and Uncertainties of Future Climates
2012,romneyAccountingInformationSystems2012,No specific method identified,Accounting Information Systems Australasian Edition
2012,roseEconomicsConceptDesign2012,No specific method identified,"The Economics, Concept, and Design of Information Intermediaries: A Theoretic Approach"
2012,rossettJobAidsPerformance2012,No specific method identified,Job Aids and Performance Support: Moving from Knowledge in the Classroom to Knowledge Everywhere
2012,sammeckNewInstitutionalEconomics2012,No specific method identified,A New Institutional Economics Perspective on Industry Self-Regulation
2012,schmidbauerOpportunityRecognitionProcess2012,No specific method identified,The Opportunity Recognition Process of Serial Social Entrepreneurs
2012,sebastian-colemanMeasuringDataQuality2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,sebastian-colemanMeasuringDataQuality2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,servaisUnderstandingTeachersInformation2012,No specific method identified,"Understanding Teachers' Information Needs, Perceived Competencies, and Information Seeking Behaviours for Special Education Information"
2012,settembriniValueRiskBased2012,No specific method identified,Value and Risk Based Management in Small and Medium-Sized Enterprises
2012,shermanSupplyChainTransformation2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,shermanSupplyChainTransformation2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,shinerFreedomCommercialExpression2012,No specific method identified,Freedom of Commercial Expression
2012,sibandaAnalysisInformationSecurity2012,No specific method identified,An Analysis of Information Security Governance Models
2012,singerCreatingObjectiveMethodology2012,No specific method identified,Creating an Objective Methodology for Human-Robot Team Configuration Selection
2012,snorgrassPublicInterestPornography2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,snorgrassPublicInterestPornography2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,sourdinTradeFacilitationDefi2012,No specific method identified,"Trade Facilitation Defi Ning, Measuring, Explaining and Reducing the Cost of International Trade"
2012,sourdinTradeFacilitationDefining2012,No specific method identified,"Trade Facilitation: Defining, Measuring, Explaining and Reducing the Cost of International Trade"
2012,suStudyEndUsers2012,No specific method identified,A Study of End Users' Perceived Usefulness of and Satisfaction with Enterprise Resource Planning Systems in Higher Education
2012,syedSupplyChainManagement2012,No specific method identified,Supply Chain Management: A Model for Implementation for SME's in Saudi Arabia
2012,tapscottOfficeAutomationUserdriven2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,tapscottOfficeAutomationUserdriven2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,thoManagingRisksIT2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,thoManagingRisksIT2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,toddCognitiveSearchEvolution2012,No specific method identified,"Cognitive Search: Evolution, Algorithms, and the Brain"
2012,vandenakkerReproductiveHealthPsychology2012,No specific method identified,Reproductive Health Psychology
2012,vanreenenKnowledgeManagementExploratory2012,No specific method identified,Knowledge Management: An Exploratory Overview
2012,vermeuleLawLimitsReason2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,vermeuleLawLimitsReason2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,wangFuzzyStochasticOptimization2012,Probabilistic Methods,"Fuzzy Stochastic Optimization: Theory, Models and Applications"
2012,wangFuzzyStochasticOptimization2012,Optimization Methods,"Fuzzy Stochastic Optimization: Theory, Models and Applications"
2012,watersonFrameworkStrategicDeployment2012,No specific method identified,A Framework for the Strategic Deployment of Business Intelligence Systems
2012,weberAnonymization2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,weberAnonymization2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,weltonEvidenceSynthesisDecision2012a,No specific method identified,Evidence Synthesis for Decision Making in Healthcare
2012,whitemanNetworksInstitutionsIndividuals2012,No specific method identified,"Networks, Institutions and Individuals: Interactive Effects on the Formation and Maintenance of Social Capital"
2012,whiteReinventingITDepartment2012,No specific method identified,Reinventing the IT Department
2012,wickramasingheManagementAccountingChange2012,No specific method identified,Management Accounting Change: Approaches and Perspectives
2012,yacobiUnconciousUnwantedHigh2012,Bayesian Methods,High School Curriculum Priorities: Leadership Perspectives
2012,burrEconomicEvaluation2012,No specific method identified,Economic Evaluation
2012,kaspersonCopingDeepUncertainty2012,No specific method identified,Coping with Deep Uncertainty: Challenges for Environmental Assessment and Decision-Making
2012,nikolaidisReverseLogisticsQualitymanagement2012,No specific method identified,Reverse Logistics and Qualitymanagement Issues: State-of-the-Art
2012,palfreyDevelopmentsEconomicEvaluation2012,No specific method identified,Developments in Economic Evaluation
2012,rudolphImplementingSecurityawarenessProgram2012,No specific method identified,Implementing a Security-Awareness Program
2012,beruttiElectronicInvoicingDigital2012,No specific method identified,Electronic Invoicing and Digital Archiving Services: A Provider Selection Model
2012,bhattacharjyaSensitivityAnalysisDecision2012,Probabilistic Methods,"In the process of model building and analysis, we perform sensitivity analysis to understand how the optimal solution changes in response to changes in the model"
2012,bhattacharjyaSensitivityAnalysisDecision2012,Bayesian Methods,"In the process of model building and analysis, we perform sensitivity analysis to understand how the optimal solution changes in response to changes in the model"
2012,bhattacharjyaSensitivityAnalysisDecision2012,Decision Trees and Networks,"In the process of model building and analysis, we perform sensitivity analysis to understand how the optimal solution changes in response to changes in the model"
2012,brechignacEcosystemApproachEnvironment2012,No specific method identified,Towards an Ecosystem Approach for Environment Protection with Emphasis on Radiological Hazards
2012,brunnermeierMacroeconomicsFinancialFrictions2012,No specific method identified,Macroeconomics with Financial Frictions: A Survey
2012,burtrawTrueCostElectric2012a,No specific method identified,The True Cost of Electric Power. Summary for Policymakers
2012,cepHowExpertsDecide2012,No specific method identified,How Experts Decide: Preferences or Private Assessments on a Monetary Policy Committee?
2012,claxtonInformingDecisionFramework2012,No specific method identified,Informing a Decision Framework for When NICE Should Recommend the Use of Health Technologies Only in the Context of an Appropriately Designed Programme of Evidence Development
2012,comerClimateChangeAdaptation2012,No specific method identified,Climate Change Adaptation Strategies for BLM Resource Management in Southern Nevada
2012,councilExposureScience21st2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,councilExposureScience21st2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,councilReviewUSGlobal2012,Probabilistic Methods,"Bayesian,Monte Carlo simulation"
2012,councilReviewUSGlobal2012,Bayesian Methods,"Bayesian,Monte Carlo simulation"
2012,darlingtonMeasuringInformationValue2012,No specific method identified,Measuring Information Value: Key Information Properties and Approaches to Assessment
2012,dumasComprehensiveDescriptionRESPONSE2012,No specific method identified,Comprehensive Description of RESPONSE
2012,engberding-krugelNeuronaleGrundlagenBelohnungsabhangiger2012,Multi-Criteria Decision Analysis,"Die Anpassungsf\""ahigkeit von Individuen an deren Umwelt h\""angt besonders in dynamischen Umgebungen mit wechselnden Belohnungskontingenzen von der F\""ahigkeit ab, diese Erwartungen anhand tats\""achlich erhaltener Belohnungen zu adjustieren"
2012,escalonareynosoRoleModernBiotech2012,No specific method identified,The Role of Modern Biotech Systems of Innovation In Market Creation: A Comparative Study between Mexico and Spain
2012,faberBehaviouralClimateChange2012,No specific method identified,Behavioural Climate Change Mitigation Options
2012,favatoBayesianModelingAssessing2012,Bayesian Methods,Bayesian Modeling Assessing the Effectiveness of a Vaccination Strategy to Prevent HPV-related Diseases: The BEST Study
2012,ferreiraCaseStudyInhibitors2012,No specific method identified,A Case Study of Inhibitors for Information Flow in Global Product Portfolio Management
2012,francetichHeuristicsDynamicChoice2012,Bayesian Methods,"Heuristics for Dynamic Choice over Opportunity Sets, I: Prior-Free Heuristics"
2012,francetichHeuristicsDynamicChoice2012,Behavioral Decision Theory,"Heuristics for Dynamic Choice over Opportunity Sets, I: Prior-Free Heuristics"
2012,garciagonzalezEssaysEconomicTheory2012,No specific method identified,Essays on the Economic Theory of Organizations
2012,giessDCCDigitalCuration2012,No specific method identified,DCC Digital Curation Reference Manual
2012,gordonRealOptionsClimate2012,Real Options,Real Options for Climate Change Investments under Uncertainty
2012,gunterAgribusinessRuralCapital2012,No specific method identified,"Agribusiness, Rural Capital, and Community"
2012,hailemariamSocioeconomicImpactIntellectual2012,No specific method identified,The Socio-Economic Impact of InTELlectual Property Rights Regime of Ethiopia
2012,harbourWorldCongressRisk2012,No specific method identified,World Congress on Risk 2012
2012,harstoneStructuringEnvironmentalManagement2012,No specific method identified,Structuring Environmental Management Choices
2012,hjelleKnowledgeintensiveWorkOil2012,No specific method identified,Knowledge-Intensive Work in the Oil and Gas Industry: A Case Study
2012,hornyakKnowledgeWorkerBehavioral2012,No specific method identified,Knowledge Worker Behavioral Responses and Job Outcomes in Mandatory Enterprise System Use Contexts
2012,houghtonTransparencyProductivity2012,No specific method identified,Transparency and Productivity
2012,ilmerstedtBusinessInformationNeed2012,No specific method identified,Business Information Need: A Business Model Perspective
2012,jacksonDevelopmentBayesianNetwork2012,Bayesian Methods,Development of a Bayesian Network Based Hybrid-Decision Support Process for Potable Water Management in the Context of the Water Framework Directive
2012,jimenezmartinezAnticipatingFutureExpected2012,Utility and Value Theory,Anticipating Future Expected Utility and Coordination Motives for Information Decisions in Networks
2012,kathuriaJugglingParadoxicalStrategies2012,No specific method identified,Juggling Paradoxical Strategies: The Emergent Role of IT Capabilities
2012,kropsu-vehkaperaEnhancingUnderstandingCompanywide2012,No specific method identified,Enhancing Understanding of Company-Wide Product Data Management in ICT Companies
2012,laukkanenSupplyChainManagement2012,No specific method identified,Supply Chain Management and Logistics Issues in Retail Industry
2012,lilePerceptionsKentuckyEducators2012,No specific method identified,Perceptions of Kentucky Educators Concerning the Kentucky State Assessment System as an Accurate Reflection of Student Learning
2012,localBadariahDin2012,No specific method identified,Badariah Din
2012,matthewsModellingEconomicenvironmentalTradeoffs2012,No specific method identified,Modelling Economic-Environmental Trade-Offs of Agricultural Non-Point Source Pollution Control Measures
2012,mccallumIdentifyingQuantifyingBenefits2012,No specific method identified,Identifying and Quantifying the Benefits of GEOSS
2012,merrickEditorsGamesDecisions2012,No specific method identified,From the Editors---Games and Decisions in Reliability and Risk
2012,mohdalwiElearningStakeholdersInformation2012,No specific method identified,E-Learning Stakeholders Information Security Vulnerability Model
2012,nettasanaConceptualModelUncertainty2012,No specific method identified,"Conceptual Model Uncertainty in the Management of the Chi River Basin, Thailand"
2012,nindCanIncreasingSurface2012,No specific method identified,Can Increasing Surface Credibility Improve E-Health Intervention Effectiveness?
2012,ongSupportingDecisionMaking2012,No specific method identified,Supporting Decision Making Process With
